Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2021,2,Formosa,"8,46","-26,1728","-58,1825"
2021,2,Jujuy,"14,37","-24,1945","-65,2971"
2021,2,La Pampa,"27,04","-37,7429","-64,2856"
2021,2,La Rioja,"20,49","-29,4135","-66,8565"
2021,2,Mendoza,"11,43","-34,5890","-68,3480"
2021,2,Misiones,"12,26","-27,3644","-55,9000"
2021,2,Neuquén,"20,58","-38,9516","-68,0591"
2021,2,Río Negro,"19,05","-40,8135","-67,9665"
2021,2,Salta,"13,30","-24,7821","-65,4232"
2021,2,San Juan,"10,01","-31,5275","-68,5386"
2021,2,San Luis,"23,89","-33,3018","-66,3378"
2021,2,Santa Cruz,"13,10","-48,7834","-69,9335"
2021,2,Santa Fe,"23,60","-31,6333","-60,7000"
2021,2,Santiago Del Estero,"11,55","-27,7834","-64,2642"
2021,2,Tierra Del Fuego,"20,13","-54,8019","-68,3029"
2021,2,Tucumán,"13,61","-26,8241","-65,2226"
2021,1,Buenos Aires,"23,00","-36,6769","-60,5588"
2021,1,Capital Federal,"44,83","-34,6037","-58,3816"
2021,1,Catamarca,"12,44","-28,4696","-65,7795"
2021,1,Chaco,"11,53","-27,4515","-58,9864"
2021,1,Chubut,"21,15","-43,3002","-65,1023"
2021,1,Córdoba,"24,06","-31,4201","-64,1888"
2021,1,Corrientes,"11,23","-27,4806","-58,8341"
2021,1,Entre Ríos,"18,07","-32,0718","-60,5238"
2021,1,Formosa,"8,33","-26,1728","-58,1825"
2021,1,Jujuy,"14,23","-24,1945","-65,2971"
2021,1,La Pampa,"26,94","-37,7429","-64,2856"
2021,1,La Rioja,"13,26","-29,4135","-66,8565"
2021,1,Mendoza,"10,93","-34,5890","-68,3480"
2021,1,Misiones,"11,76","-27,3644","-55,9000"
2021,1,Neuquén,"19,90","-38,9516","-68,0591"
2021,1,Río Negro,"18,72","-40,8135","-67,9665"
2021,1,Salta,"13,06","-24,7821","-65,4232"
2021,1,San Juan,"9,95","-31,5275","-68,5386"
2021,1,San Luis,"23,25","-33,3018","-66,3378"
2021,1,Santa Cruz,"12,39","-48,7834","-69,9335"
2021,1,Santa Fe,"23,24","-31,6333","-60,7000"
2021,1,Santiago Del Estero,"11,33","-27,7834","-64,2642"
2021,1,Tierra Del Fuego,"22,93","-54,8019","-68,3029"
2021,1,Tucumán,"13,58","-26,8241","-65,2226"
2020,4,Buenos Aires,"22,90","-36,6769","-60,5588"
2020,4,Capital Federal,"44,83","-34,6037","-58,3816"
2020,4,Catamarca,"12,57","-28,4696","-65,7795"
2020,4,Chaco,"11,50","-27,4515","-58,9864"
2020,4,Chubut,"20,95","-43,3002","-65,1023"
2020,4,Córdoba,"23,90","-31,4201","-64,1888"
2020,4,Corrientes,"11,17","-27,4806","-58,8341"
2020,4,Entre Ríos,"17,78","-32,0718","-60,5238"
2020,4,Formosa,"8,27","-26,1728","-58,1825"
2020,4,Jujuy,"13,67","-24,1945","-65,2971"
2020,4,La Pampa,"26,94","-37,7429","-64,2856"
2020,4,La Rioja,"13,34","-29,4135","-66,8565"
2020,4,Mendoza,"10,78","-34,5890","-68,3480"
2020,4,Misiones,"11,61","-27,3644","-55,9000"
2020,4,Neuquén,"19,94","-38,9516","-68,0591"
2020,4,Río Negro,"18,79","-40,8135","-67,9665"
2020,4,Salta,"13,09","-24,7821","-65,4232"
2020,4,San Juan,"9,25","-31,5275","-68,5386"
2020,4,San Luis,"23,38","-33,3018","-66,3378"
2020,4,Santa Cruz,"11,01","-48,7834","-69,9335"
2020,4,Santa Fe,"23,14","-31,6333","-60,7000"
2020,4,Santiago Del Estero,"10,86","-27,7834","-64,2642"
2020,4,Tierra Del Fuego,"22,61","-54,8019","-68,3029"
2020,4,Tucumán,"13,57","-26,8241","-65,2226"
2020,3,Buenos Aires,"22,41","-36,6769","-60,5588"
2020,3,Capital Federal,"44,62","-34,6037","-58,3816"
2020,3,Catamarca,"12,00","-28,4696","-65,7795"
2020,3,Chaco,"11,10","-27,4515","-58,9864"
2020,3,Chubut,"20,95","-43,3002","-65,1023"
2020,3,Córdoba,"23,03","-31,4201","-64,1888"
2020,3,Corrientes,"10,99","-27,4806","-58,8341"
2020,3,Entre Ríos,"17,40","-32,0718","-60,5238"
2020,3,Formosa,"8,12","-26,1728","-58,1825"
2020,3,Jujuy,"13,82","-24,1945","-65,2971"
2020,3,La Pampa,"26,12","-37,7429","-64,2856"
2020,3,La Rioja,"13,34","-29,4135","-66,8565"
2020,3,Mendoza,"10,42","-34,5890","-68,3480"
2020,3,Misiones,"11,33","-27,3644","-55,9000"
2020,3,Neuquén,"19,42","-38,9516","-68,0591"
2020,3,Río Negro,"17,55","-40,8135","-67,9665"
2020,3,Salta,"12,67","-24,7821","-65,4232"
2020,3,San Juan,"9,88","-31,5275","-68,5386"
2020,3,San Luis,"22,88","-33,3018","-66,3378"
