Año,Trimestre,Provincia,Mbps,Latitud,Longitud,Meta Mbps
2018,2,Entre Ríos,"10,19","-32,0718","-60,5238","10,07"
2018,3,Entre Ríos,"10,52","-32,0718","-60,5238","10,39"
2018,4,Entre Ríos,"11,02","-32,0718","-60,5238","10,74"
2019,1,Entre Ríos,"10,66","-32,0718","-60,5238","11,24"
2019,2,Entre Ríos,"12,19","-32,0718","-60,5238","10,87"
2019,3,Entre Ríos,"14,70","-32,0718","-60,5238","12,44"
2019,4,Entre Ríos,"17,01","-32,0718","-60,5238","14,99"
2020,1,Entre Ríos,"19,03","-32,0718","-60,5238","17,35"
2020,2,Entre Ríos,"20,45","-32,0718","-60,5238","19,41"
2020,3,Entre Ríos,"22,43","-32,0718","-60,5238","20,86"
2020,4,Entre Ríos,"24,05","-32,0718","-60,5238","22,88"
2021,1,Entre Ríos,"23,87","-32,0718","-60,5238","24,53"
2021,2,Entre Ríos,"27,62","-32,0718","-60,5238","24,35"
2021,3,Entre Ríos,"29,60","-32,0718","-60,5238","28,17"
2021,4,Entre Ríos,"33,32","-32,0718","-60,5238","30,19"
2022,1,Entre Ríos,"35,59","-32,0718","-60,5238","33,98"
2022,2,Entre Ríos,"40,03","-32,0718","-60,5238","36,30"
2022,3,Entre Ríos,"42,49","-32,0718","-60,5238","40,83"
2022,4,Entre Ríos,"87,47","-32,0718","-60,5238","43,34"
2023,1,Entre Ríos,"86,71","-32,0718","-60,5238","89,22"
2023,2,Entre Ríos,"89,37","-32,0718","-60,5238","88,44"
2023,3,Entre Ríos,"96,26","-32,0718","-60,5238","91,16"
2023,4,Entre Ríos,"101,18","-32,0718","-60,5238","98,19"
2024,1,Entre Ríos,"101,36","-32,0718","-60,5238","103,20"
2024,2,Entre Ríos,"100,98","-32,0718","-60,5238","103,39"
2014,1,Formosa,"2,57","-26,1728","-58,1825","0,00"
2014,2,Formosa,"2,65","-26,1728","-58,1825","2,63"
2014,3,Formosa,"2,66","-26,1728","-58,1825","2,71"
2014,4,Formosa,"3,02","-26,1728","-58,1825","2,71"
2015,1,Formosa,"3,38","-26,1728","-58,1825","3,08"
2015,2,Formosa,"3,76","-26,1728","-58,1825","3,45"
2015,3,Formosa,"4,17","-26,1728","-58,1825","3,84"
2015,4,Formosa,"4,66","-26,1728","-58,1825","4,25"
2016,1,Formosa,"4,87","-26,1728","-58,1825","4,75"
2016,2,Formosa,"5,10","-26,1728","-58,1825","4,97"
2016,3,Formosa,"5,42","-26,1728","-58,1825","5,21"
2016,4,Formosa,"5,63","-26,1728","-58,1825","5,52"
2017,1,Formosa,"5,74","-26,1728","-58,1825","5,74"
2017,2,Formosa,"6,18","-26,1728","-58,1825","5,86"
2017,3,Formosa,"7,07","-26,1728","-58,1825","6,30"
2017,4,Formosa,"10,11","-26,1728","-58,1825","7,21"
2018,1,Formosa,"11,06","-26,1728","-58,1825","10,32"
2018,2,Formosa,"8,97","-26,1728","-58,1825","11,28"
2018,3,Formosa,"9,32","-26,1728","-58,1825","9,15"
2018,4,Formosa,"9,82","-26,1728","-58,1825","9,50"
2019,1,Formosa,"9,83","-26,1728","-58,1825","10,01"
2019,2,Formosa,"10,84","-26,1728","-58,1825","10,02"
2019,3,Formosa,"13,22","-26,1728","-58,1825","11,05"
2019,4,Formosa,"14,53","-26,1728","-58,1825","13,49"
2020,1,Formosa,"15,70","-26,1728","-58,1825","14,82"
2020,2,Formosa,"16,87","-26,1728","-58,1825","16,01"
2020,3,Formosa,"18,28","-26,1728","-58,1825","17,21"
2020,4,Formosa,"19,70","-26,1728","-58,1825","18,65"
2021,1,Formosa,"20,98","-26,1728","-58,1825","20,09"
2021,2,Formosa,"23,97","-26,1728","-58,1825","21,40"
2021,3,Formosa,"26,69","-26,1728","-58,1825","24,45"
2021,4,Formosa,"28,76","-26,1728","-58,1825","27,22"
2022,1,Formosa,"30,28","-26,1728","-58,1825","29,33"
2022,2,Formosa,"28,47","-26,1728","-58,1825","30,89"
2022,3,Formosa,"30,35","-26,1728","-58,1825","29,04"
2022,4,Formosa,"72,03","-26,1728","-58,1825","30,96"
2023,1,Formosa,"73,96","-26,1728","-58,1825","73,47"
2023,2,Formosa,"77,32","-26,1728","-58,1825","75,44"
2023,3,Formosa,"80,29","-26,1728","-58,1825","78,87"
2023,4,Formosa,"83,35","-26,1728","-58,1825","81,90"
2024,1,Formosa,"83,80","-26,1728","-58,1825","85,02"
2024,2,Formosa,"82,66","-26,1728","-58,1825","85,48"
2014,1,Jujuy,"2,69","-24,1945","-65,2971","0,00"
2014,2,Jujuy,"2,77","-24,1945","-65,2971","2,74"
2014,3,Jujuy,"2,93","-24,1945","-65,2971","2,82"
2014,4,Jujuy,"3,13","-24,1945","-65,2971","2,99"
2015,1,Jujuy,"3,24","-24,1945","-65,2971","3,19"
2015,2,Jujuy,"3,41","-24,1945","-65,2971","3,31"
2015,3,Jujuy,"3,53","-24,1945","-65,2971","3,48"
2015,4,Jujuy,"3,72","-24,1945","-65,2971","3,60"
2016,1,Jujuy,"3,77","-24,1945","-65,2971","3,80"
2016,2,Jujuy,"3,84","-24,1945","-65,2971","3,85"
2016,3,Jujuy,"4,22","-24,1945","-65,2971","3,92"
2016,4,Jujuy,"4,32","-24,1945","-65,2971","4,30"
2017,1,Jujuy,"4,39","-24,1945","-65,2971","4,41"
2017,2,Jujuy,"4,54","-24,1945","-65,2971","4,48"
2017,3,Jujuy,"4,69","-24,1945","-65,2971","4,63"
2017,4,Jujuy,"6,64","-24,1945","-65,2971","4,78"
2018,1,Jujuy,"6,74","-24,1945","-65,2971","6,77"
2018,2,Jujuy,"6,29","-24,1945","-65,2971","6,88"
2018,3,Jujuy,"7,67","-24,1945","-65,2971","6,42"
2018,4,Jujuy,"8,56","-24,1945","-65,2971","7,82"
2019,1,Jujuy,"8,56","-24,1945","-65,2971","8,73"
2019,2,Jujuy,"12,07","-24,1945","-65,2971","8,73"
2019,3,Jujuy,"11,97","-24,1945","-65,2971","12,31"
2019,4,Jujuy,"12,96","-24,1945","-65,2971","12,21"
2020,1,Jujuy,"14,14","-24,1945","-65,2971","13,22"
2020,2,Jujuy,"15,86","-24,1945","-65,2971","14,43"
2020,3,Jujuy,"21,91","-24,1945","-65,2971","16,18"
2020,4,Jujuy,"25,21","-24,1945","-65,2971","22,35"
2021,1,Jujuy,"26,78","-24,1945","-65,2971","25,71"
2021,2,Jujuy,"25,81","-24,1945","-65,2971","27,31"
2021,3,Jujuy,"25,98","-24,1945","-65,2971","26,33"
2021,4,Jujuy,"27,14","-24,1945","-65,2971","26,50"
2022,1,Jujuy,"27,69","-24,1945","-65,2971","27,69"
2022,2,Jujuy,"29,39","-24,1945","-65,2971","28,24"
2022,3,Jujuy,"32,43","-24,1945","-65,2971","29,98"
2022,4,Jujuy,"39,32","-24,1945","-65,2971","33,08"
2023,1,Jujuy,"42,75","-24,1945","-65,2971","40,11"
2023,2,Jujuy,"43,56","-24,1945","-65,2971","43,61"
